3.972642e+002,0.000000e+000
4.011211e+002,-1.777666e-002
4.049781e+002,-6.973822e-003
4.088350e+002,5.350641e-003
4.126919e+002,1.565020e-003
4.165489e+002,1.285930e-002
4.204058e+002,-2.520863e-003
4.242627e+002,-1.884971e-002
4.281197e+002,-1.397686e-002
4.319766e+002,-1.064476e-002
4.358335e+002,-2.310837e-002
4.396905e+002,-1.801513e-002
4.435474e+002,-5.996722e-003
4.474043e+002,-3.870090e-003
4.512613e+002,-9.631332e-003
4.551182e+002,-1.031737e-002
4.589751e+002,-3.944598e-003
4.628321e+002,-6.092953e-003
4.666890e+002,-6.292274e-003
4.705459e+002,-9.497826e-003
4.744029e+002,-1.284993e-002
4.782598e+002,-1.552520e-002
4.821167e+002,-1.575916e-002
4.859737e+002,-1.414402e-002
4.898306e+002,-1.558683e-002
4.936875e+002,-1.766800e-002
4.975444e+002,-1.764970e-002
5.014014e+002,-1.732504e-002
5.052583e+002,-1.675537e-002
5.091152e+002,-1.530573e-002
5.129722e+002,-1.527771e-002
5.168291e+002,-1.474842e-002
5.206860e+002,-1.633598e-002
5.245430e+002,-1.580859e-002
5.283999e+002,-1.562867e-002
5.322568e+002,-1.687787e-002
5.361138e+002,-1.497640e-002
5.399707e+002,-1.479191e-002
5.438276e+002,-1.508442e-002
5.476846e+002,-1.619130e-002
5.515415e+002,-1.567626e-002
5.553984e+002,-1.594087e-002
5.592554e+002,-1.487430e-002
5.631123e+002,-1.500092e-002
5.669692e+002,-1.473295e-002
5.708262e+002,-1.418324e-002
5.746831e+002,-1.487267e-002
5.785400e+002,-1.489931e-002
5.823970e+002,-1.499330e-002
5.862539e+002,-1.434885e-002
5.901108e+002,-1.263097e-002
5.939678e+002,-1.431666e-002
5.978247e+002,-1.395437e-002
6.016816e+002,-1.503923e-002
6.055386e+002,-1.489530e-002
6.093955e+002,-1.372258e-002
6.132524e+002,-1.333148e-002
6.171094e+002,-1.404814e-002
6.209663e+002,-1.386936e-002
6.248232e+002,-1.243448e-002
6.286802e+002,-1.248709e-002
6.325371e+002,-1.236582e-002
6.363940e+002,-1.183481e-002
6.402510e+002,-1.217423e-002
6.441079e+002,-1.350309e-002
6.479648e+002,-1.249967e-002
6.518218e+002,-1.158243e-002
6.556787e+002,-1.136254e-002
6.595356e+002,-1.142112e-002
6.633926e+002,-1.090773e-002
6.672495e+002,-1.018880e-002
6.711064e+002,-1.071381e-002
6.749634e+002,-1.072406e-002
6.788203e+002,-1.092831e-002
6.826772e+002,-1.123593e-002
6.865342e+002,-1.081295e-002
6.903911e+002,-1.077549e-002
6.942480e+002,-1.006220e-002
6.981050e+002,-1.009480e-002
7.019619e+002,-1.031048e-002
7.058188e+002,-9.852553e-003
7.096758e+002,-1.003021e-002
7.135327e+002,-9.784495e-003
7.173896e+002,-8.788930e-003
7.212466e+002,-7.911250e-003
7.251035e+002,-8.374379e-003
7.289604e+002,-8.516549e-003
7.328174e+002,-9.084016e-003
7.366743e+002,-9.499803e-003
7.405313e+002,-9.817570e-003
7.443882e+002,-9.576949e-003
7.482451e+002,-9.273634e-003
7.521021e+002,-9.084503e-003
7.559590e+002,-8.963065e-003
7.598159e+002,-9.426567e-003
7.636729e+002,-9.418136e-003
7.675298e+002,-9.329645e-003
7.713867e+002,-8.733727e-003
7.752437e+002,-8.596144e-003
7.791006e+002,-8.702388e-003
7.829575e+002,-8.029372e-003
